Sample,Group,Tube Label,PC1 Score,PC2 Score
sample-1,Placenta,A20150,-2.756423801677508,2.2354315670171987
sample-2,Placenta,A20284,1.8867730082288785,-1.9201299862340184
sample-3,Placenta,C20159,4.606224058281816,7.816480685726878
sample-4,Placenta,C20256,-10.042946660703544,-2.423579167376657
sample-5,Placenta,C20187,2.250327460685596,0.2277964381758894
sample-6,Placenta,S20219,0.2706552748115616,9.636333654736353
sample-7,Placenta,C20190,-3.2351715028008208,1.144353276680144
sample-8,Placenta,C20225,5.632651211314492,3.047329154383245
sample-9,Placenta,C20194,4.441682918672154,-0.5721591373546486
sample-10,Placenta,C20199,0.9109049960785274,3.0347349297215516
sample-11,Placenta,C20208,3.9923279769934066,5.63851563941109
sample-12,Placenta,C20196,-30.484204187600625,-0.2237378527151763
sample-13,Placenta,C20214,-2.452453473623623,-1.4281681610800507
sample-14,Placenta,A20280,-0.0852699872117214,-3.871502395478372
sample-15,Placenta,S20216,8.931539427525303,4.791366365690149
sample-16,Placenta,C20222,4.780640101607138,2.323080664279676
sample-17,Placenta,C20220,3.085062256398413,2.9147338512345327
sample-18,Placenta,C20235,-9.816874067573355,-6.889141600081263
sample-19,Placenta,C20224,6.022414301823887,3.638114938435656
sample-20,Placenta,A20252,-2.7308091648770776,-3.063148674210952
sample-21,Placenta,A20232,-2.92471565495549,2.7668521537286064
sample-22,Placenta,A20247,-40.165970525107426,-35.83682945372013
sample-23,Placenta,A20251,-5.203275909831865,2.8215457487293856
sample-24,Placenta,A20249,-2.504925242609398,2.2059513853485586
sample-25,Placenta,C20264,-23.64252339622366,-23.0931736305799
sample-26,Placenta,C20207,-12.228053496941152,4.6208665923432
sample-27,Placenta,C20266,8.241016410529985,0.1779340402908546
sample-28,Placenta,S20245,-3.704144726594695,3.875785494313362
sample-29,Placenta,A20278,5.536855484326212,2.811396406274425
sample-30,Placenta,C20218,8.976838716902193,7.160003457228136
sample-31,Placenta,A20283,8.863412316135571,1.850593791986202
sample-32,Placenta,C20228,7.385252270451939,3.4659275778679617
sample-33,Placenta,C20186,-5.549027144907748,1.3539504613052664
sample-34,Placenta,C20230,-3.367558311504902,3.165380399362024
sample-35,Placenta,A20276,4.734265538445642,-0.9920936499258128
sample-36,Placenta,C20198,4.677911642905743,4.134788810095551
sample-37,Placenta,A20240,-5.355565776220475,-1.3810134607925226
sample-38,Placenta,A20184,-3.168823754461071,7.905406027578072
sample-39,Placenta,A20273,4.128775803218169,-1.150497015886495
sample-40,Placenta,A20281,-1.9528779315362716,1.1745460157351957
sample-1,Cord,20284S1,-1.3881670826863417,0.211298637491104
sample-2,Cord,20159S1,-0.6744440313786166,4.06108804899184
sample-3,Cord,20256S1,-2.4747844432507207,1.3201322017393888
sample-4,Cord,20187S1,-3.145106915683418,0.7331445007979037
sample-5,Cord,20219S1,-8.09239892097616,4.55142683120146
sample-6,Cord,20190S1,-7.501279782993047,5.835369010315282
sample-7,Cord,20225S1,1.2333627255067008,5.583732105650307
sample-8,Cord,20199S1,-14.882183226683033,-0.8580000674872608
sample-9,Cord,20208S1,-1.0556365702162704,8.093943741868394
sample-10,Cord,20196S1,-9.944810509415117,2.666127927484758
sample-11,Cord,20214S1,-5.770657199991843,3.5492190961917145
sample-12,Cord,20280S1,-4.524000314414912,-8.424220734297208
sample-13,Cord,20216S1,4.266118225266164,8.910474402542215
sample-14,Cord,20222S1,-1.2510388254858276,0.9032416173850764
sample-15,Cord,20220S1,-3.0765140583354973,7.463647321097401
sample-16,Cord,20235S1,-11.175086021241636,-1.872496933125928
sample-17,Cord,20224S1,3.6510107994079894,5.7379304118622185
sample-18,Cord,20252S1,13.489877017445808,-0.0633389969011547
sample-19,Cord,20232S1,9.030755668549636,4.321447366033019
sample-20,Cord,20247S1,37.93496125471985,-22.906465239603232
sample-21,Cord,20251S1,9.632594497831894,5.831476749295732
sample-22,Cord,20249S1,28.384062896614235,-15.173678257702894
sample-23,Cord,20264S1,16.1757704732725,-25.541921295202723
sample-24,Cord,20207S1,-7.460506466234924,3.9048111891120327
sample-25,Cord,20266S1,5.900817561982378,-24.051120999307695
sample-26,Cord,20245S1,-4.2328317081464935,3.983512120333806
sample-27,Cord,20278S1,0.8912278290284505,2.2434820670206093
sample-28,Cord,20218S1,4.18447034040489,4.423222554852733
sample-29,Cord,20283S1,19.27725317333646,-7.902962148045499
sample-30,Cord,20228S1,-2.20416588973955,5.569836646733881
sample-31,Cord,20186S1,3.2881163329232033,3.961283005285811
sample-32,Cord,20230S1,-9.758711669938132,5.176482696609684
sample-33,Cord,20276S1,6.0865771011742416,-20.500520726017857
sample-34,Cord,20198S1,-8.904926717835282,3.1166549538757735
sample-35,Cord,20240S1,9.552499739182029,0.2882246355762251
sample-36,Cord,20184S1,-9.580508805066556,1.7822454945783015
sample-37,Cord,20273S1,22.54502473211517,0.2533563045153474
sample-38,Cord,20281S1,-6.410657667422478,9.72388841700635
