Dataset,Sample,PC,PC_Score,PC_Flag,Explanation
Cord,sample-20,PC1,45.236285048370384,high,"Cord sample-20 is a high PC1 outlier (score=45.24). Top drivers: 210012 (high value, positive loading, contrib=0.228); 617003 (high value, positive loading, contrib=0.219); 616078 (high value, positive loading, contrib=0.216); 604011 (high value, positive loading, contrib=0.214); 301004 (low value, negative loading, contrib=0.212)."
Cord,sample-22,PC1,30.62695643679821,high,"Cord sample-22 is a high PC1 outlier (score=30.63). Top drivers: 703039 (high value, positive loading, contrib=0.269); 117013 (high value, positive loading, contrib=0.255); 704030 (high value, positive loading, contrib=0.252); 703058 (high value, positive loading, contrib=0.233); 657006 (high value, positive loading, contrib=0.222)."
Cord,sample-23,PC1,31.293148297065237,high,"Cord sample-23 is a high PC1 outlier (score=31.29). Top drivers: 301004 (low value, negative loading, contrib=0.195); 902012 (high value, positive loading, contrib=0.191); 902001 (high value, positive loading, contrib=0.188); 642024 (low value, negative loading, contrib=0.185); 642014 (low value, negative loading, contrib=0.179)."
Cord,sample-25,PC1,20.79845469925479,high,"Cord sample-25 is a high PC1 outlier (score=20.80). Top drivers: 801009 (low value, negative loading, contrib=0.167); 304004 (low value, negative loading, contrib=0.159); 1103076 (low value, negative loading, contrib=0.148); 304001 (low value, negative loading, contrib=0.147); 902018 (high value, positive loading, contrib=0.146)."
Cord,sample-25,PC2,-23.96759575451688,low,"Cord sample-25 is a low PC2 outlier (score=-23.97). Top drivers: 107014 (low value, positive loading, contrib=-0.249); 203004 (low value, positive loading, contrib=-0.235); 301010 (low value, positive loading, contrib=-0.232); 645001 (low value, positive loading, contrib=-0.227); 1116139 (high value, negative loading, contrib=-0.221)."
Cord,sample-29,PC1,24.054353599919462,high,"Cord sample-29 is a high PC1 outlier (score=24.05). Top drivers: 607001 (high value, positive loading, contrib=0.199); 642004 (low value, negative loading, contrib=0.195); 650001 (high value, positive loading, contrib=0.194); 651008 (high value, positive loading, contrib=0.192); 651012 (high value, positive loading, contrib=0.190)."
Cord,sample-33,PC2,-21.774582368675816,low,"Cord sample-33 is a low PC2 outlier (score=-21.77). Top drivers: 1101005 (high value, negative loading, contrib=-0.303); 402011 (low value, positive loading, contrib=-0.245); 402007 (low value, positive loading, contrib=-0.244); 203004 (low value, positive loading, contrib=-0.218); 1116016 (low value, positive loading, contrib=-0.217)."
Cord,sample-37,PC2,23.000655510674108,high,"Cord sample-37 is a high PC2 outlier (score=23.00). Top drivers: 113001 (high value, positive loading, contrib=0.259); 635006 (high value, positive loading, contrib=0.257); 107013 (high value, positive loading, contrib=0.243); 107014 (high value, positive loading, contrib=0.219); 1103049 (low value, negative loading, contrib=0.218)."
Placenta,sample-12,PC1,-36.691305913207366,low,"Placenta sample-12 is a low PC1 outlier (score=-36.69). Top drivers: 604014 (low value, positive loading, contrib=-0.276); 604003 (low value, positive loading, contrib=-0.268); 650016 (low value, positive loading, contrib=-0.263); 604011 (low value, positive loading, contrib=-0.260); 650004 (low value, positive loading, contrib=-0.249)."
Placenta,sample-12,PC2,26.244922045783376,high,"Placenta sample-12 is a high PC2 outlier (score=26.24). Top drivers: 601007 (high value, positive loading, contrib=0.242); 607034 (low value, negative loading, contrib=0.237); 652005 (low value, negative loading, contrib=0.235); 659004 (high value, positive loading, contrib=0.228); 613002 (high value, positive loading, contrib=0.222)."
Placenta,sample-22,PC1,-53.07399530406102,low,"Placenta sample-22 is a low PC1 outlier (score=-53.07). Top drivers: 703008 (low value, positive loading, contrib=-0.276); 703015 (low value, positive loading, contrib=-0.266); 402008 (low value, positive loading, contrib=-0.260); 703039 (low value, positive loading, contrib=-0.257); 119007 (low value, positive loading, contrib=-0.255)."
Placenta,sample-22,PC2,-30.217184162106967,low,"Placenta sample-22 is a low PC2 outlier (score=-30.22). Top drivers: 210008 (low value, positive loading, contrib=-0.291); 703011 (low value, positive loading, contrib=-0.275); 402012 (low value, positive loading, contrib=-0.268); 402008 (low value, positive loading, contrib=-0.265); 113019 (low value, positive loading, contrib=-0.255)."
Placenta,sample-25,PC1,-33.99637350538498,low,"Placenta sample-25 is a low PC1 outlier (score=-34.00). Top drivers: 117025 (low value, positive loading, contrib=-0.243); 643004 (low value, positive loading, contrib=-0.241); 101002 (low value, positive loading, contrib=-0.239); 643005 (low value, positive loading, contrib=-0.232); 657011 (low value, positive loading, contrib=-0.231)."
Placenta,sample-25,PC2,-20.51059102814684,low,"Placenta sample-25 is a low PC2 outlier (score=-20.51). Top drivers: 703025 (high value, negative loading, contrib=-0.296); 206005 (low value, positive loading, contrib=-0.280); 206007 (low value, positive loading, contrib=-0.259); 114001 (low value, positive loading, contrib=-0.243); 117020 (low value, positive loading, contrib=-0.234)."
